id,brand,name,bag_of_words
AVpe9CG6LJeJML43zGfm,fitflop,fitflop womens lulu slide open toe wedge sandal,toe lulu womens sandal fitflop wedge slide open
AVpe9ZxsilAPnD_xRzci,faded glory,faded glory women's  walk moccasin shoe,faded walk women's moccasin glory shoe
AVpe_2h81cnluZ0-boAU,faded glory,faded glory women's printed twin gore canvas shoe,faded women's canvas gore printed glory shoe twin
AVpe_gumilAPnD_xSjIb,unique bargains,women's open toe high heel metallic ankle strap sandals,toe high women's sandals strap metallic heel unique bargains ankle open
AVpe_hnpLJeJML43z_Gv,brinley co.,brinley co. girls' faux leather buckle boots,leather co. buckle faux boots brinley girls'
AVpf-kgK1cnluZ0-ubpu,pleaser,women's pleaser delight 685,pleaser 685 women's delight
AVpf0mS0ilAPnD_xi50b,pleaser,women's pleaser stardust 808t ankle-strap sandal,stardust 808t sandal women's ankle-strap pleaser
AVpf1ASPLJeJML43Ee-a,crocs,women's crocs patricia,crocs patricia women's
AVpf1Y3ailAPnD_xjIF2,brinley co.,brinley co. women's mid-calf round toe boots,toe round women's mid-calf co. boots brinley
AVpf355ailAPnD_xjzWL,bonnibel,bonnibel wonda-2 womens peep toe low heel glitter slip on dress pumps,toe womens wonda-2 bonnibel low dress pumps glitter heel slip peep on
AVpf38PKLJeJML43FRwO,muk luks,muk luks women's hayden boot,women's luks muk boot hayden
AVpf3kCgilAPnD_xjtkp,style co.,style co. womens faee closed toe mid-calf fashion boots,toe womens mid-calf co. faee style boots closed fashion
AVpf44T8LJeJML43Fgy6,pleaser,"gorgeous-28, 5 1/4'' stiletto heel shoes","stiletto 1/4'' heel gorgeous-28, shoes pleaser 5"
AVpf4QnhilAPnD_xj5BW,brinley co.,womens cross strap pointed toe flats,toe womens cross strap co. pointed flats brinley
AVpf51qXilAPnD_xkSHI,brinley co.,women's wide-calf low-wedge buckle slouch boot,wide-calf women's low-wedge co. buckle boot brinley slouch
AVpf566silAPnD_xkTWM,asics,asics women's gel-evate 3 lightning/hot pink/blue ankle-high running shoe - 6m,running gel-evate women's pink/blue lightning/hot asics shoe ankle-high 3 6m -
AVpfArORLJeJML430Zbv,brinley co.,brinley co women's strappy thong flat sandals,thong women's sandals co. strappy flat co brinley
AVpfBEW3LJeJML430iQ5,brinley co.,womens extra wide-calf slouch buckle wedge knee-high boot,wide-calf womens extra knee-high co. buckle wedge boot brinley slouch
AVpfBgBmLJeJML430sYG,ugg,ugg women's alena casual moccasin slippers,women's moccasin alena casual slippers ugg
AVpfBsxCLJeJML430w57,vans,vans women's palisades vulc washed canvas fuchsia purple ankle-high fashion sneaker - 5m,washed women's fuchsia sneaker palisades vulc purple vans fashion ankle-high canvas 5m -
AVpfBuTrilAPnD_xTVnQ,vionic,vionic women's samoa slide sandal navy 9 m,slide women's 9 samoa navy sandal m vionic
AVpfCI881cnluZ0-ccYD,funtasma,women's victorian 03,victorian 03 women's funtasma
AVpfCLDsLJeJML4307of,minnetonka,women's chesney scuff,chesney scuff women's minnetonka
AVpfDAttilAPnD_xTxZP,brinley co.,women's extra wide-calf ankle strap knee-high riding boots,wide-calf women's riding extra strap co. knee-high boots ankle brinley
AVpfDqWyLJeJML431bqP,brinley co.,brinley co. womens wide calf slouchy buckle detail boots,womens wide calf co. buckle boots detail slouchy brinley
AVpfEFx41cnluZ0-dGzz,daxx,daxx men's topstitched hardware accent loafers,accent hardware men's topstitched loafers daxx
AVpfESj9LJeJML431p8l,brinley co.,brinley co. womens d'orsay flat,womens co. flat d'orsay brinley
AVpfGWT3ilAPnD_xU7MQ,sloggers,sloggers women's outfitters premium garden clog,women's garden premium outfitters sloggers clog
AVpfGpVAilAPnD_xVBZI,fila,"women's fila, memory elleray 5 slip resistant work sneaker","women's work fila resistant sneaker fila, slip memory elleray 5"
AVpfHSRh1cnluZ0-eM3-,brinley co.,brinley co. women's round toe high heel matte booties,toe round high booties women's co. heel matte brinley
AVpfHwJS1cnluZ0-eWuG,style co.,women's brigyte knee high riding boots,knee high women's riding brigyte co. style boots
AVpfI7W01cnluZ0-ewgE,alfani,alfani women's jemah closed toe ballet flats,toe women's ballet jemah closed alfani flats
AVpfIFEz1cnluZ0-edya,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpfIZ7HLJeJML433DNk,cudas,women's cudas shasta,shasta women's cudas
AVpfJ8INLJeJML433kPP,brinley co.,brinley co. women's matte finish classic mary jane pumps,women's co. pumps classic jane mary finish matte brinley
AVpfJkLrLJeJML433cY1,skechers,skechers relaxed fit breathe easy money bags women's athletic shoes,fit money relaxed bags women's athletic easy skechers breathe shoes
AVpfJvGBilAPnD_xWDz5,the highest heel,women's shoes 5 1/2 covered platform with maryjane strap - white patent pu,white platform the women's with - strap maryjane pu heel patent 1/2 covered shoes 5 highest
AVpfKK0CilAPnD_xWM4n,fila,fila classic canvas women's casual shoes,women's fila classic casual canvas shoes
AVpfKjuI1cnluZ0-fS-R,ellie shoes,womens saddle black and pink shoes,ellie womens pink black saddle shoes and
AVpfLJG6ilAPnD_xWhQV,riverberry,riverberry women's 'katy' fashion kitten heeled pumps,kitten women's 'katy' heeled pumps riverberry fashion
AVpfLXyhilAPnD_xWmNc,muk luks,muk luks women's malena boot,malena women's luks muk boot
AVpfLrzQLJeJML434JFY,brinley co.,brinley co. women buckle detail wide calf boots,wide calf co. brinley buckle boots detail women
AVpfN8eKLJeJML4344Sm,brinley co.,women's extra wide-calf knee-high studded riding boots,wide-calf studded women's riding extra knee-high co. boots brinley
AVpfNSw4LJeJML434qaO,brinley co.,women's wide calf buckle detail boots,women's wide calf co. buckle boots detail brinley
AVpfNaNailAPnD_xXQmH,genuine dickies,genuine dickies men's jobrated truxx waterproof work boot,genuine jobrated truxx work men's boot waterproof dickies
AVpfNmIELJeJML434w4b,laundry by design,timberland womens teddy fleece fold down wp ankle boot,wp timberland womens teddy ankle by boot fold design laundry fleece down
AVpfNujoilAPnD_xXXc1,muk luks,muk luks men's fairisle full foot slipper,men's luks fairisle foot muk slipper full
AVpfO0ww1cnluZ0-gszN,new balance,new balance women's trail running blue/purple ankle-high shoe - 8m,running women's new balance shoe 8m trail ankle-high blue/purple -
AVpfOFMeilAPnD_xXe5b,genuine dickies,genuine dickies jobrated maxx waterproof work boot,genuine jobrated work maxx boot waterproof dickies
AVpfOKIw1cnluZ0-ge0t,alegria by pg lite,alegria paloma,lite alegria paloma by pg
AVpfOq3SilAPnD_xXrNj,brinley co.,brinley co. womens classic matte pointed toe pumps,toe womens co. pointed pumps classic matte brinley
AVpfPsWnLJeJML435dGO,muk luks,muk luks men's corduroy moccasin with flannel lining,lining with moccasin men's luks muk corduroy flannel
AVpfPswDilAPnD_xYAsQ,brinley co.,brinley co. womens wide width pointed matte finish pumps,width womens wide co. pointed pumps finish matte brinley
AVpfRBkB1cnluZ0-hbT-,vans,vans classic slip-on men round toe canvas multi color skate shoe,toe round slip-on color classic shoe multi vans skate men canvas
AVpfR_m31cnluZ0-hu0N,propet,women's propet vista strap oxfords taupe 9.5 d,taupe women's strap oxfords 9.5 vista propet d
AVpfRkJsLJeJML436EP8,propet,propet women's travellite walking sneakers black nylon bamboo mesh eva rubber 10 aa,women's rubber sneakers walking black bamboo mesh travellite eva nylon 10 propet aa
AVpfSPKr1cnluZ0-hzpz,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpfSwNzilAPnD_xY_tB,brinley co.,women's lyla stacked heel classic pumps,lyla women's co. pumps classic heel stacked brinley
AVpfTMqFLJeJML436lYL,pleaser,women's pleaser seduce 2000,2000 pleaser seduce women's
AVpfTzZP1cnluZ0-iUZw,funtasma,women's victorian 03,victorian 03 women's funtasma
AVpfUP3K1cnluZ0-ieCo,babe,women 6910 triple button shearling winter boot shoe,shearling winter triple 6910 babe button boot shoe women
AVpfWLtyilAPnD_xaGle,unbranded,time and tru women's basic ballet flat,women's ballet tru flat unbranded time and basic
AVpfXUPPLJeJML4375Sd,the highest heel,women's shoes 5 1/2 covered platform with maryjane strap - white patent pu,white platform the women's with - strap maryjane pu heel patent 1/2 covered shoes 5 highest
AVpfYD6lilAPnD_xaq5W,muk luks,muk luks morty - men's ragg wool slipper sock,wool sock ragg men's luks muk morty slipper -
AVpfYeJaLJeJML438Phi,reebok,reebok womens princess wide d,womens wide reebok d princess
AVpfYrg_1cnluZ0-j11Q,rocket dog,rocket dog beany women's lace up combat boots,women's beany boots combat dog lace up rocket
AVpfZ5NBLJeJML438pa6,brinley co.,women's wide calf slouchy round toe boots,toe round women's wide calf co. boots slouchy brinley
AVpfZKMY1cnluZ0-j-0e,propet,women's propet breeze walker,women's breeze propet walker
AVpfZQMWLJeJML438d-N,bearpaw,bearpaw women's loki ii slipper,women's slipper loki ii bearpaw
AVpfZWseilAPnD_xbDEn,unbranded,men's marshland waterproof boot,men's marshland boot waterproof unbranded
AVpfZaja1cnluZ0-kDgB,onitsuka tiger,onitsuka tiger women's mexico 66 white/white ankle-high fabric flat shoe - 6m,women's fabric white/white tiger mexico flat ankle-high shoe 66 onitsuka 6m -
AVpfaMRwLJeJML438uZ4,brinley co.,brinley co. women's wide calf faux suede over-the-knee boots,over-the-knee suede women's wide calf co. faux boots brinley
AVpfb1BSilAPnD_xbuFf,fitflop,fitflop womens lulu slide open toe wedge sandal,toe lulu womens sandal fitflop wedge slide open
AVpfc2AwLJeJML439b8c,ellie shoes,"610-shana, 6'' clear and neon wedge with ankle strap","ellie 6'' neon with clear strap wedge 610-shana, ankle shoes and"
AVpfcFTl1cnluZ0-kxe4,avia,avia women's avi-strike white / pink grey ankle-high rubber running shoe - 11m,running avia white women's pink avi-strike grey rubber 11m shoe ankle-high / -
AVpfeWdJ1cnluZ0-lXYU,muk luks,muk luks women's malena boot,malena women's luks muk boot
AVpffFGE1cnluZ0-lkTg,eastland,eastland amore women's slip-on shoes,women's slip-on amore shoes eastland
AVpfgC0D1cnluZ0-l2ba,minnetonka,women's minnetonka suede ankle boot,suede women's minnetonka boot ankle
AVpfgL_JLJeJML43-WoR,brinley co.,women's round toe patent pumps,toe round women's co. pumps patent brinley
AVpfgjYYLJeJML43-dZQ,brinley co.,brinley co. women's tweed two-tone mary jane pumps,women's co. pumps jane tweed two-tone brinley mary
AVpfgvfk1cnluZ0-mDPa,brinley co.,women's extra wide calf buckle slouch low-wedge boots,women's wide extra calf co. buckle low-wedge boots brinley slouch
AVpfjAMzilAPnD_xduD1,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpfk-Q81cnluZ0-nUsT,mo mo,mo mo women's outlander heeled hiker boot,women's mo heeled hiker boot outlander
AVpfk9jZ1cnluZ0-nUd_,brinley co.,brinley co womens mary jane patent leather pumps,leather womens co. pumps jane co patent mary brinley
AVpfkRRWLJeJML43_kSj,brinley co.,women's wide calf slouchy round toe boots,toe round women's wide calf co. boots slouchy brinley
AVpfmz_71cnluZ0-n4iA,daniel green,daniel green adel,daniel adel green
AVpfn5s3LJeJML43ArJE,dr. scholls,dr. scholl's madison women's sneakers,women's dr. sneakers madison scholl's scholls
AVpfrB5f1cnluZ0-pIhw,brinley co.,brinley co. women's august slouchy wide calf boots,women's wide calf co. boots august slouchy brinley
AVpfroreilAPnD_xgUSE,funtasma,women's funtasma dame 02,dame women's 02 funtasma
AVpfs1zNilAPnD_xgqjh,bearpaw,"bearpaw girls emma slip on boot (little kid/big kid), hickory ii, 5 m us little kid","hickory m (little emma us slip kid boot little bearpaw 5 kid), on kid/big girls ii,"
AVpfstKl1cnluZ0-poJ4,brinley co.,brinley co. womens faux leather stacked heel fringe ankle boots,leather womens co. fringe faux heel boots ankle stacked brinley
AVpftPCILJeJML43CPOU,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpftVqF1cnluZ0-pz7V,brinley co.,brinley co. womens faux suede high heel ankle boots,suede womens high co. faux heel boots ankle brinley
AVpfu7zILJeJML43Cv4y,brinley co.,womens wide-calf knee-high riding boot,wide-calf womens riding knee-high co. boot brinley
AVpfuGBsLJeJML43Cf-l,ugg,ugg women's adirondack boot ii otter high-top leather - 6m,leather women's adirondack boot ii otter high-top 6m ugg -
AVpfueNW1cnluZ0-qKJu,brinley co.,brinley co. womens knot round toe t-strap matte mary jane pumps,toe round womens co. pumps t-strap jane mary knot matte brinley
AVpfwad2LJeJML43DKCI,seiko,seiko men's sur047 stainless steel bracelet watch with silver-tone dial,sur047 with men's dial stainless silver-tone watch seiko steel bracelet
AVpfwdpXilAPnD_xhtaX,earth spirit,earth spirit women's andi sandal,spirit women's sandal andi earth
AVpfxoUZ1cnluZ0-rDzl,brinley co.,brinley co. women's wide width round toe patent pumps,toe width round women's wide co. pumps patent brinley
AVpg1oEYLJeJML43TYKw,rockport,women's rockport cobb hill helen slingback sandal,women's hill helen rockport slingback cobb sandal
AVpg4CQEilAPnD_xyXLi,pleaser,women's pleaser seduce 2000,2000 pleaser seduce women's
AVpg4tTH1cnluZ0-7irp,spring step,spring step happy women's clogs,happy women's clogs step spring
AVpg8zZXilAPnD_xzT49,adidas,women's propet leona mary jane,leona women's jane mary adidas propet
AVpg9Jr2ilAPnD_xzYfH,brinley co.,brinley co. womens slouchy wedge boots,womens wedge co. boots slouchy brinley
AVpg9iYo1cnluZ0-8hIj,brinley co.,brinley co. women's wedge faux suede booties,suede booties women's co. wedge faux brinley
AVpg9jtyLJeJML43U9Cz,alfani,alfani women's jemah closed toe ballet flats,toe women's ballet jemah closed alfani flats
AVpgBzl41cnluZ0-vSQf,muk luks,muk luks women's elle wedge sandals,women's elle luks wedge sandals muk
AVpgC5JGilAPnD_xmjOg,softwalk,softwalk topeka n/s round toe leather sneakers,toe round leather sneakers topeka softwalk n/s
AVpgCaoO1cnluZ0-vcHn,df by dearfoams,df by dearfoams men's slide slipper,df men's dearfoams by slipper slide
AVpgD0W8ilAPnD_xmzPp,brinley co.,brinley co. women's wide calf slouchy round toe boots,toe round women's wide calf co. boots slouchy brinley
AVpgEr5R1cnluZ0-wCbS,p.amzbrand,anna sally-5 womens adorable almond toe lace up wedge ankle bootie,toe almond p.amzbrand womens up wedge bootie adorable lace sally-5 ankle anna
AVpgHw5xilAPnD_xnyLN,propet,women's propet adventure,adventure women's propet
AVpgNGD6ilAPnD_xpAke,muk luks,muk luks women's nikki boot,women's luks muk boot nikki
AVpgOcmuilAPnD_xpVft,unbranded,women's essential ballet flat,women's ballet essential flat unbranded
AVpgRU8zLJeJML43Lhfa,new balance,new balance women's wc1296bp blue/red/green ankle-high leather tennis shoe - 6.5w,blue/red/green wc1296bp leather women's tennis new balance 6.5w shoe ankle-high -
AVpgZUfE1cnluZ0-05Om,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpgac9KLJeJML43NlCB,ellie shoes,ellie shoes e-557-lucky 5 chunky heel green glitter maryjane green / 11,e-557-lucky ellie maryjane / glitter 11 heel chunky green shoes 5
AVpgjEXmLJeJML43Pcl2,brinley co.,brinley co. women's mary jane matte finish pumps,women's co. pumps jane mary finish matte brinley
AVpgjXbkilAPnD_xuCc8,earth spirit,earth spirit women's rubi sandal,spirit women's rubi sandal earth
AVpgjiQF1cnluZ0-3HN4,brinley co.,brinley co. women's almond toe flats,toe almond women's co. flats brinley
AVpgjiQF1cnluZ0-3HN4,brinley co.,brinley co. womens almond toe flats,toe almond womens co. flats brinley
AVpgk1tdLJeJML43P2cT,brinley co.,brinley co. womens extra wide calf knee-high studded riding boots,studded womens wide riding extra calf co. knee-high boots brinley
AVpgn-k0LJeJML43Qjkj,brinley co.,brinley co. womens wide calf slouchy buckle detail boots,womens wide calf co. buckle boots detail slouchy brinley
AVpgptyp1cnluZ0-4hXT,propet,propet wash wear slip-on - casual - women's - black,women's wear slip-on black wash casual propet -
AVpgqDb-LJeJML43RCBy,brinley co.,brinley co. women's two-tone strappy round toe booties,toe round booties women's co. strappy two-tone brinley
AVpgqbpQ1cnluZ0-4rVL,brinley co.,brinley co. womens patent leather classic pumps,leather womens co. pumps classic patent brinley
AVpgsqiDLJeJML43Rnqo,brinley co.,brinley co. womens faux suede tassel round toe wedge boots,toe round suede womens co. wedge faux boots tassel brinley
AVpgt0zRLJeJML43R4Ln,brinley co.,brinley co. women's wide width peep-toe platform pumps,width platform women's wide co. pumps peep-toe brinley
AVpgtbPc1cnluZ0-5Wqx,brinley co.,brinley co. women's extra wide calf ankle strap knee-high riding boots,women's wide riding extra calf co. strap knee-high boots ankle brinley
AVpgueGELJeJML43SAvc,toms,toms women's desert wedge boot black suede shrlng ankle-high - 8m,suede women's - toms desert wedge black boot 8m ankle-high shrlng
AVpguk8cLJeJML43SCTT,brinley co.,womens crossover pointed toe ankle strap flats,toe womens strap co. pointed crossover flats ankle brinley
AVpgvLoL1cnluZ0-5unJ,oofos,oofos ooriginal impact absorption recovery thong sandals multiple sizes colors,thong ooriginal recovery sandals oofos colors multiple impact absorption sizes
AVpgvcbv1cnluZ0-5x_E,riverberry,"riverberry women's gaby pointed closed toe stiletto pump heels, black pu, 6.5","toe gaby women's stiletto pump 6.5 pointed heels, black riverberry closed pu,"
AVpgy3AgilAPnD_xxYle,brinley co.,brinley co. womens wide-calf buckle knee-high slouch boot,wide-calf womens knee-high buckle co. boot brinley slouch
AVpgy3AgilAPnD_xxYle,brinley co.,womens wide-calf buckle knee-high slouch boot,wide-calf womens knee-high buckle co. boot brinley slouch
AVpgzk2v1cnluZ0-6jnn,toms,toms womens desert wedges boot,womens wedges toms desert boot
AVph1d5VilAPnD_x926A,propet,women's propet madison mid zip,mid women's zip madison propet
AVph2NUtilAPnD_x9_W_,brinley co.,brinley co. womens slouchy buckle detail boots,womens buckle co. boots detail slouchy brinley
AVph34uzilAPnD_x-STz,victoria k.,victoria k. women's fashion chain link strap sandal,women's strap link chain fashion sandal k. victoria
AVph3mXu1cnluZ0-HT3k,lugz,women's lugz drifter lx boot,women's lugz boot lx drifter
AVph4acGLJeJML43f4tN,alfani,women's forray wedge thong sandals,thong women's sandals wedge forray alfani
AVph5yRIilAPnD_x-nZ8,brinley co.,brinley co. women's cut-out pointed toe fashion flats,toe women's co. pointed cut-out flats fashion brinley
AVph9abqilAPnD_x_Nrp,muk luks,muk luks women's demi boot,women's luks muk boot demi
AVph9cx8ilAPnD_x_OCE,toms,toms womens desert wedges boot,womens wedges toms desert boot
AVphAoQfilAPnD_x0GYd,brinley co.,womens wide calf slouchy buckle detail boots,womens wide calf co. buckle boots detail slouchy brinley
AVphEgjtLJeJML43WXSG,brinley co.,brinley co. women's round toe comfort fit classic pumps,toe round fit women's co. pumps classic comfort brinley
AVphFVCgilAPnD_x1Cnp,brinley co.,womens wide calf round toe buckle detail boots,toe round womens wide calf co. buckle boots detail brinley
AVphGKLPilAPnD_x1Nrm,muk luks,muk luks womens dawn suede scuff slipper,womens suede luks dawn muk slipper scuff
AVphGjZN1cnluZ0--WSL,brinley co.,womens wide-calf knee-high riding boot,wide-calf womens riding knee-high co. boot brinley
AVphIXayilAPnD_x1qtc,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVphK52oLJeJML43XpfU,brinley co.,womens wide calf slouchy buckle detail boots,womens wide calf co. buckle boots detail slouchy brinley
AVphKpMgilAPnD_x2HEj,grendha,grendha women's python thong sandal-bronze-size 7,thong python women's grendha sandal-bronze-size 7
AVphMYu61cnluZ0-_gDM,ib non-slip,womens ib tornado boots,ib womens boots tornado non-slip
AVphMzNsilAPnD_x2h9H,brinley co.,brinley co womens wide-calf buckle knee-high slouch microsuede boot,wide-calf womens microsuede knee-high co. buckle boot co brinley slouch
AVphNCCqilAPnD_x2k7_,propet,women's propet breeze walker,women's breeze propet walker
AVphQAiiilAPnD_x3J-8,brinley co.,brinley co. women's tweed two-tone mary jane pumps,women's co. pumps jane tweed two-tone brinley mary
AVphQm0-ilAPnD_x3RCO,unbranded,women's essential light weight athletic shoe,athletic women's essential shoe light unbranded weight
AVphX0ZbLJeJML43aHNG,genuine dickies,genuine dickies womens' real suede clog,genuine suede womens' clog dickies real
AVphXIhELJeJML43Z-74,dr. scholl's,dr. scholl's women's freestyle,scholl's freestyle women's dr.
AVphXJJsilAPnD_x4fw2,brinley co.,brinley co. women's cammie buckle detail wide calf boots,women's wide calf co. buckle boots detail cammie brinley
AVphYvWT1cnluZ0-B2_L,franco sarto,darlis leather point-toe pumps,leather pumps franco point-toe darlis sarto
AVphZ_Xk1cnluZ0-CF5V,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVph_sRxilAPnD_x_kaA,brinley co.,brinley co womens mary jane patent leather pumps,leather womens co. pumps jane co patent mary brinley
AVphbNXp1cnluZ0-CU4j,danskin now,avia women's achieve wide width walking shoe,avia width women's now wide danskin walking achieve shoe
AVphbej3LJeJML43azqf,brinley co.,women's wide-calf buckle knee-high slouch microsuede boot,wide-calf women's microsuede knee-high co. buckle boot brinley slouch
AVphd3eULJeJML43bQDG,brinley co.,womens wide-calf knee-high side-zipper buckle riding boot,wide-calf side-zipper womens riding knee-high co. buckle boot brinley
AVphdM2LilAPnD_x5oWU,brinley co.,women's wide-calf slouch riding mid-calf boots,wide-calf women's mid-calf riding co. boots brinley slouch
AVphf6M51cnluZ0-DNIG,mo mo,momo women's low heel lace up bootie,low women's mo bootie heel lace momo up
AVphfynfilAPnD_x6HNA,toms,toms women's desert wedge boot black suede shrlng ankle-high - 8m,suede women's - toms desert wedge black boot 8m ankle-high shrlng
AVphgfltilAPnD_x6PXj,spring step,spring step tender women's clogs,women's tender clogs step spring
AVphh4Hf1cnluZ0-Djws,brinley co.,womens wide calf round toe buckle detail boots,toe round womens wide calf co. buckle boots detail brinley
AVphhlhmilAPnD_x6cM-,brinley co.,brinley co. womens wide-calf knee-high studded riding boot,wide-calf studded womens riding knee-high co. boot brinley
AVphhlhmilAPnD_x6cM-,brinley co.,women's wide-calf knee-high studded riding boot,wide-calf studded women's riding knee-high co. boot brinley
AVphhwCE1cnluZ0-DiSZ,ellie,ellie shoes e-652-oxford 6 stiletto heel oxford sandal black / 5,ellie stiletto oxford 6 heel black e-652-oxford shoes sandal 5 /
AVphl0I-ilAPnD_x7JVw,the highest heel,women's shoes 5 1/2 covered platform with maryjane strap - white patent pu,white platform the women's with - strap maryjane pu heel patent 1/2 covered shoes 5 highest
AVphm6G5LJeJML43c0Je,brinley co.,brinley co. women's peep-toe patent pumps,women's co. pumps patent peep-toe brinley
AVphmNGP1cnluZ0-ERus,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVphq-E9ilAPnD_x8Bgo,pleaser,women's pleaser seduce 420v,420v pleaser seduce women's
AVphq8Ny1cnluZ0-FFnv,propet,women's propet travellite,women's propet travellite
AVphqVhoLJeJML43dZ2a,faded glory,faded glory women's casual lace-up canvas sneaker,faded women's sneaker casual glory canvas lace-up
AVphuQmk1cnluZ0-FqyR,forever young,forever young women's classic short rain boot,rain women's young classic boot forever short
AVphvRvnLJeJML43eRsr,propet,women's propet washable walker sneakers blue 10 aa,women's washable sneakers 10 walker blue propet aa
AVphyHO1ilAPnD_x9RjY,brinley co.,womens stacked wood heel crossover ankle strap d'orsay dress flats,womens wood strap co. dress heel crossover flats d'orsay ankle stacked brinley
AVphyzaZLJeJML43e5WQ,ellie shoes,"106-avenge, 1'' heel boot","ellie 106-avenge, heel boot 1'' shoes"
AVpi-ZoW1cnluZ0-SXMx,pleaser,women's pleaser stardust 808t ankle-strap sandal,stardust 808t sandal women's ankle-strap pleaser
AVpi1y6tilAPnD_xIAXa,white mountain,white mountain 'mandolin' women's leather sandal,white leather women's mountain 'mandolin' sandal
AVpi2XjjilAPnD_xIFTL,ellie shoes,womens avenge red superhero costume boots,ellie red avenge womens superhero costume boots shoes
AVpi2jgTLJeJML43pot5,trotters,women's trotters janna,trotters janna women's
AVpi5EzrLJeJML43p-O3,brinley co.,women's round toe buckle detail boots,toe round women's co. buckle boots detail brinley
AVpi74XfLJeJML43qZAc,muk luks,muk luks womens jane suede moccasin,womens suede moccasin luks muk jane
AVpi9CQ0LJeJML43qkte,brinley co.,brinley co. women's pointed matte finish pumps,women's co. pointed pumps finish matte brinley
AVpiATp9ilAPnD_x_qyh,brinley co.,brinley co. womens cross strap faux suede pointed toe dress high heels,toe womens suede cross high strap co. pointed dress heels faux brinley
AVpiF4-31cnluZ0-Jvov,propet,women's propet madison tall zip,women's zip tall madison propet
AVpiJ0A4LJeJML43i1zi,ellie shoes,"610-shana, 6'' clear and neon wedge with ankle strap","ellie 6'' neon with clear strap wedge 610-shana, ankle shoes and"
AVpiJn-v1cnluZ0-KZEJ,oofos,oofos 1000per: mens original thong periwinkle sandals (8 d(m) us men),thong men) (8 1000per: sandals oofos us mens periwinkle original d(m)
AVpiLDnNLJeJML43jDEw,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpiLL4XilAPnD_xBj89,propet,propet women's eden lace up sneakers white leather 6.5 w,white leather women's 6.5 sneakers w lace up eden propet
AVpiLbUiilAPnD_xBmf5,brinley co.,women's wide-calf zipper studded riding boots,wide-calf studded women's riding co. boots zipper brinley
AVpiO-zZLJeJML43jrey,spring step,spring step faithful women's sandals,women's sandals step faithful spring
AVpiVskEilAPnD_xDNJ2,eastland,eastland solstice women's boat shoes,women's boat shoes solstice eastland
AVpiXRGJ1cnluZ0-MjI-,toms,toms women's classic striped canvas dark grey stripe university ankle-high flat shoe - 10m,dark women's toms 10m grey classic flat university shoe ankle-high canvas striped stripe -
AVpiYTuB1cnluZ0-Mt5a,brinley co.,womens stacked wood heel almond toe d'orsay flats,toe almond womens wood co. heel flats d'orsay stacked brinley
AVpiZyYlilAPnD_xD1fu,touch ups,"touch ups womens jane ankle-strap sandal,champagne glitter,12 w us","womens sandal,champagne touch glitter,12 us ups jane w ankle-strap"
AVpi_6UP1cnluZ0-SlRT,el naturalista,el naturalista womens n734 nido ankle boot shoes,el womens n734 nido boot ankle naturalista shoes
AVpia2K6LJeJML43lhA-,brinley co.,brinley co. womens high heel corset lace chunky heel ankle boots,high womens co. corset heel boots chunky lace ankle brinley
AVpidVDz1cnluZ0-Nd4_,dr. scholls,dr. scholl's jorie women's ankle boots,jorie women's dr. scholl's boots scholls ankle
AVpieLSVLJeJML43mATo,brinley co.,women's pointed toe ankle wrap t-strap d'orsay flats,toe women's co. pointed t-strap flats d'orsay ankle wrap brinley
AVpiewWrilAPnD_xEkjw,brinley co.,womens classic bow pointed toe casual ballet flats,toe womens ballet co. pointed classic flats casual bow brinley
AVpighYz1cnluZ0-N8EB,brinley co.,womens pointed toe faux leather flats,toe leather womens co. pointed faux flats brinley
AVpij_dBilAPnD_xFV8S,easy street,easy street natara women ww open-toe synthetic blue slingback sandal,open-toe street synthetic ww easy natara slingback blue sandal women
AVpij_dBilAPnD_xFV8S,easy street,easy street natara women's sandals,street women's sandals easy natara
AVpijweFLJeJML43m1Hf,trotters,women's trotters lansing,trotters lansing women's
AVpimk8HLJeJML43nQKh,brinley co.,women's round toe buckle detail boots,toe round women's co. buckle boots detail brinley
AVpir8tB1cnluZ0-PtRb,dyeables,women's dyeables lola,lola women's dyeables
